" designed as a learning path to guide your progress. You may take the courses in any order that suits you. "," прогресті бағыттайтын оқу жолы ретінде жасалған. Сіз курстарды өзіңізге ыңғайлы кез келген ретпен ала аласыз. "
" designed as a structured learning path to guide your progress. Courses in this program must be taken in order, and each course will unlock as you complete the previous one. "," прогресті бағыттау үшін құрылымдық оқыту жолы ретінде жасалған. Бұл бағдарламадағы курстар ретімен өтуі керек және әрбір курс алдыңғы курсты аяқтаған кезде құлпы ашылады. "
" Please evaluate and grade it.","Бағалап, бағалаңыз."
" to "," дейін "
" you are on a"," сіз а"
"(opens in a new tab)","(жаңа қойындыда ашылады)"
"1 result loaded","1 нәтиже жүктелді"
"1 row selected","1 жол таңдалды"
"<a href=""/app/lms-settings/LMS%20Settings"">LMS Settings</a>","<a href=""/app/lms-settings/LMS%20Settings"">LMS параметрлері</a>"
"<a href=""/app/web-page/new-web-page-1"">Setup a Home Page</a>","<a href=""/app/web-page/new-web-page-1"">Басты бетті орнату</a>"
"<a href=""/lms/courses"">Visit LMS Portal</a>","<a href=""/lms/courses"">LMS порталына кіру</a>"
"<a href=""/lms/courses/new/edit"">Create a Course</a>","<a href=""/lms/courses/new/edit"">Курс жасау</a>"
"<a href=""https://docs.frappe.io/learning"">Documentation</a>","<a href=""https://docs.frappe.io/learning"">Documentation</a>"
"<p>Dear {{ member_name }},</p>\n\n<p>You have been enrolled in our upcoming batch {{ batch_name }}.</p>\n\n<p>Thanks,</p>\n<p>Frappe Learning</p>","<p>Құрметті {{ member_name }},</p>\n\n<p>Сіз біздің алдағы {{ batch_name }} тобына тіркелдіңіз.</p>\n\n<p>Рақмет,</p>\n<p>YU-LMS</p>"
"<p>Dear {{ member_name }},</p>\n\n<p>You have been enrolled in our upcoming batch {{ batch_name }}.</p>\n\n<p>Thanks,</p>\n<p>YU-LMS</p>","<p>Құрметті {{ member_name }},</p>\n\n<p>Сіз біздің алдағы топтамаға тіркелдіңіз {{ batch_name }}.</p>\n\n<p>Рахмет,</p>\n<p>YU-LMS</p>"
"<span class=""h4""><b>Get Started</b></span>","<span class=""h4""><b>Бастау</b></span>"
