YU-LMS,YU-LMS,
Language,Язык,
Colour mode,Цветовая тема,
Account,Аккаунт,
System,Системная,
Light,Светлая,
Dark,Тёмная,
Home,Главная,
Courses,Курсы,
Course,Курс,
Batches,Потоки,
Batch,Поток,
Programs,Программы,
Assignments,Задания,
Quizzes,Тесты,
Statistics,Статистика,
Settings,Настройки,
Profile,Профиль,
Notifications,Уведомления,
Search,Поиск,
Create,Создать,
Edit,Изменить,
Save,Сохранить,
Cancel,Отмена,
Delete,Удалить,
Submit,Отправить,
Continue,Продолжить,
Publish,Опубликовать,
Unpublish,Снять с публикации,
Published,Опубликовано,
Draft,Черновик,
Completed,Завершено,
In Progress,В процессе,
Enrolled,Зачислен,
Students,Студенты,
Instructors,Преподаватели,
Certificates,Сертификаты,
Help,Помощь,
About,О платформе,
Contact,Контакты,
Privacy,Конфиденциальность,
Terms,Условия,
Log out,Выйти,
Browse courses,Просмотреть курсы,
Create an account,Создать аккаунт,
Reset password,Сбросить пароль,
Send an email,Отправить письмо,
Open help center,Открыть справочный центр,
About the platform,О платформе,
Help center,Справочный центр,
Contact us,Связаться с нами,
Privacy policy,Политика конфиденциальности,
Terms of use,Условия использования,
For students,Для студентов,
For instructors,Для преподавателей,
For administrators,Для администраторов,
Account access,Доступ к аккаунту,
Structured learning,Структурированное обучение,
Assessment,Оценивание,
Live teaching,Онлайн-занятия,
Certification,Сертификация,
Join a course,Записаться на курс,
Continue learning,Продолжить обучение,
Submit work,Отправить работу,
Course Content coming soon!,Содержание курса скоро появится!,
Powered by YU-LMS,На платформе YU-LMS,
Install YU-LMS,Установить YU-LMS,
Complete your profile,Заполните профиль,
My Profile,Мой профиль,
Student View,Режим студента,
Back,Назад,
Next,Далее,
Previous,Назад,
Loading,Загрузка,
No results found,Ничего не найдено,
Something went wrong,Что-то пошло не так,
Audit Log,Журнал действий,
Audit events,События журнала,
Document type,Тип документа,
All document types,Все типы документов,
User email,Электронная почта пользователя,
Filter by user email,Фильтр по электронной почте пользователя,
Changes,Изменения,
Document metadata changed,Метаданные документа изменены,
Due Date,Срок сдачи,
No deadline,Без срока,
Leave empty when the assessment has no deadline.,Оставьте поле пустым, если у работы нет срока сдачи.,
Overdue,Просрочено,
Learners needing attention,Студенты группы риска,
"Based on overdue work, low progress, and recent activity.","На основе просроченных работ, низкого прогресса и недавней активности.",
Low progress,Низкий прогресс,
Reason,Причина,
Grading Rubric,Критерии оценивания,
Maximum Score,Максимальный балл,
Earned Score,Полученный балл,
Score,Балл,
